DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
32K549,The Brooklyn School for Social Justice,2018-19,335,0,0,0,0,0,0,0,0,0,0,54,78,94,109,159,0.475,176,0.525,4,0.012,65,0.194,250,0.746,5,0.015,11,0.033,74,0.221,120,0.358,278,0.83,0.92
32K552,The Academy of Urban Planning and Engineering,2014-15,279,0,0,0,0,0,0,0,0,0,0,66,54,73,86,124,0.444,155,0.556,2,0.007,64,0.229,207,0.742,4,0.014,2,0.007,80,0.287,81,0.29,274,0.982,0.857
32K552,The Academy of Urban Planning and Engineering,2015-16,227,0,0,0,0,0,0,0,0,0,0,37,57,52,81,107,0.471,120,0.529,1,0.004,50,0.22,170,0.749,3,0.013,3,0.013,58,0.256,60,0.264,213,0.938,0.843
32K552,The Academy of Urban Planning and Engineering,2016-17,194,0,0,0,0,0,0,0,0,0,0,30,41,61,62,85,0.438,109,0.562,1,0.005,33,0.17,154,0.794,2,0.01,4,0.021,43,0.222,62,0.32,187,0.964,0.863
32K552,The Academy of Urban Planning and Engineering,2017-18,197,0,0,0,0,0,0,0,0,0,0,53,40,44,60,85,0.431,112,0.569,2,0.01,35,0.178,154,0.782,2,0.01,4,0.02,44,0.223,51,0.259,194,0.985,0.912
32K552,The Academy of Urban Planning and Engineering,2018-19,231,0,0,0,0,0,0,0,0,0,0,86,63,39,43,101,0.437,130,0.563,1,0.004,52,0.225,175,0.758,1,0.004,2,0.009,63,0.273,55,0.238,228,0.987,0.884
32K554,All City Leadership Secondary School,2014-15,358,0,0,0,0,0,0,0,60,60,60,63,39,37,39,190,0.531,168,0.469,24,0.067,46,0.128,274,0.765,1,0.003,13,0.036,21,0.059,6,0.017,318,0.888,0.667
32K554,All City Leadership Secondary School,2015-16,385,0,0,0,0,0,0,0,60,60,60,63,62,41,39,208,0.54,177,0.46,23,0.06,44,0.114,297,0.771,2,0.005,19,0.049,23,0.06,6,0.016,346,0.899,0.652
32K554,All City Leadership Secondary School,2016-17,413,0,0,0,0,0,0,0,60,60,62,67,62,60,42,233,0.564,180,0.436,25,0.061,42,0.102,315,0.763,2,0.005,29,0.07,33,0.08,7,0.017,363,0.879,0.605
32K554,All City Leadership Secondary School,2017-18,435,0,0,0,0,0,0,0,60,61,59,70,63,65,57,241,0.554,194,0.446,31,0.071,36,0.083,332,0.763,1,0.002,35,0.08,34,0.078,7,0.016,373,0.857,0.708
