DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
24Q744,VOYAGES Preparatory,232,14,6.0%,s,s,s,10
25Q020,P.S. 020 John Bowne,1182,54,4.6%,8,s,s,42
25Q021,P.S. 021 Edward Hart,1235,192,15.5%,s,s,s,188
25Q022,P.S. 022 Thomas Jefferson,854,38,4.4%,s,s,s,37
25Q024,P.S. 024 Andrew Jackson,1111,88,7.9%,s,s,s,86
25Q025,I.S. 025 Adrien Block,1050,79,7.5%,s,s,s,76
25Q029,P.S. 029 Queens,728,40,5.5%,8,s,s,31
25Q032,P.S. 032 State Street,963,36,3.7%,s,s,s,32
25Q079,P.S. 079 Francis Lewis,1104,30,2.7%,s,s,s,28
25Q107,P.S. 107 Thomas A Dooley,917,72,7.9%,s,s,s,70
25Q120,P.S. 120 Queens,849,16,1.9%,s,s,s,14
25Q129,P.S. 129 Patricia Larkin,1098,55,5.0%,s,s,s,52
25Q130,P.S. 130,405,s,s,s,s,s,s
25Q154,P.S. 154 Queens,619,15,2.4%,s,s,s,12
25Q163,P.S. 163 Flushing Heights,841,12,1.4%,s,s,s,11
25Q164,P.S. 164 Queens Valley,626,16,2.6%,s,s,s,13
25Q165,P.S. 165 Edith K. Bergtraum,753,49,6.5%,7,s,s,42
25Q169,P.S. 169 Bay Terrace,368,s,s,s,s,s,s
25Q184,P.S. 184 Flushing Manor,523,20,3.8%,s,s,s,20
25Q185,J.H.S. 185 Edward Bleeker,1426,129,9.0%,s,s,s,120
25Q189,J.H.S. 189 Daniel Carter Beard,744,52,7.0%,s,s,s,49
25Q193,P.S. 193 Alfred J. Kennedy,608,s,s,s,s,s,s
25Q194,J.H.S. 194 William Carr,1208,51,4.2%,s,s,s,49
25Q200,P.S./M.S. 200 - The Magnet School of Global Studie,534,22,4.1%,9,s,s,12
25Q201,P.S. 201 The Discovery School for Inquiry and Rese,454,23,5.1%,15,s,s,6
25Q209,P.S. 209 Clearview Gardens,553,s,s,s,s,s,s
25Q214,P.S. 214 Cadwallader Colden,377,11,2.9%,s,s,s,9
25Q219,P.S. 219 Paul Klapper,641,62,9.7%,s,s,s,57
25Q237,I.S. 237,1358,67,4.9%,s,s,s,62
25Q240,Veritas Academy,633,35,5.5%,s,s,s,31
25Q241,Queens High School for Language Studies,445,23,5.2%,s,s,s,22
25Q242,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,401,9,2.2%,s,s,s,s
25Q244,The Active Learning Elementary School,492,s,s,s,s,s,s
25Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,347,35,10.1%,s,s,s,30
25Q252,"Queens School of Inquiry, The",609,13,2.1%,s,s,s,13
25Q263,Flushing International High School,446,87,19.5%,s,s,s,79
25Q281,East-West School of International Studies,686,7,1.0%,s,s,s,s
25Q285,World Journalism Preparatory: A College Board Scho,628,23,3.7%,s,s,s,20
25Q294,BELL Academy,354,s,s,s,s,s,s
25Q379,College Point Collaborative,494,20,4.0%,s,s,s,19
25Q409,District 25 PRE-K Center,156,s,s,s,s,s,s
25Q425,John Bowne High School,3336,160,4.8%,31,18,13,122
25Q444,Home Schooling,384,10,2.6%,s,s,s,10
25Q460,Flushing High School,1418,116,8.2%,15,s,s,100
25Q499,"The Queens College School for Math, Science and Te",515,10,1.9%,s,s,s,6
25Q525,Townsend Harris High School,1271,11,0.9%,s,s,s,10
25Q540,Queens Academy High School,378,17,4.5%,s,s,s,11
25Q670,Robert F. Kennedy Community High School,672,26,3.9%,s,s,s,21
25Q700,Universal Pre-K C.B.O.,1785,37,2.1%,s,s,s,34
25Q792,North Queens Community High School,132,9,6.8%,s,s,s,6
26Q018,P.S. 018 Winchester,474,6,1.3%,s,s,s,s
26Q026,P.S. 026 Rufus King,711,11,1.5%,s,s,s,10
26Q031,P.S. 031 Bayside,457,s,s,s,s,s,s
26Q041,P.S. 041 Crocheron,479,9,1.9%,s,s,s,8
26Q046,P.S. 046 Alley Pond,508,15,3.0%,s,s,s,15
26Q067,J.H.S. 067 Louis Pasteur,1051,21,2.0%,s,s,s,19
26Q074,J.H.S. 074 Nathaniel Hawthorne,1141,28,2.5%,s,s,s,28
26Q094,P.S. 094 David D. Porter,336,10,3.0%,s,s,s,10
26Q098,P.S. 098 The Douglaston School,272,s,s,s,s,s,s
26Q115,The James J. Ambrose School,793,13,1.6%,s,s,s,13
26Q133,P.S. 133 Queens,619,14,2.3%,s,s,s,14
26Q158,M.S. 158 Marie Curie,995,33,3.3%,s,s,s,29
26Q159,P.S. 159,667,26,3.9%,s,s,s,26
26Q162,P.S. 162 John Golden,583,17,2.9%,s,s,s,12
26Q172,Irwin Altman Middle School 172,992,28,2.8%,s,s,s,26
26Q173,P.S. 173 Fresh Meadows,911,30,3.3%,s,s,s,30
26Q178,P.S./ IS 178 Holliswood,540,10,1.9%,s,s,s,7
26Q186,P.S. 186 Castlewood,383,7,1.8%,s,s,s,7
26Q188,P.S. 188 Kingsbury,742,16,2.2%,s,s,s,16
26Q191,P.S. 191 Mayflower,404,42,10.4%,s,s,s,42
26Q203,P.S. 203 Oakland Gardens,817,s,s,s,s,s,s
26Q205,P.S. 205 Alexander Graham Bell,285,9,3.2%,s,s,s,9
26Q213,P.S. 213 The Carl Ullman School,461,18,3.9%,s,s,s,17
26Q216,J.H.S. 216 George J. Ryan,1611,120,7.4%,s,s,s,116
26Q221,P.S. 221 The North Hills School,611,s,s,s,s,s,s
26Q266,P.S./I.S. 266,597,10,1.7%,s,s,s,s
26Q315,Business Technology Early College High School,559,41,7.3%,7,s,s,32
26Q376,P.S. 376,307,15,4.9%,s,s,s,15
26Q390,The CIVIC School of Bayside Hills,43,s,s,s,s,s,s
26Q415,Benjamin N. Cardozo High School,3415,106,3.1%,14,s,s,86
26Q430,Francis Lewis High School,4454,195,4.4%,7,s,s,185
26Q435,Martin Van Buren High School,1150,60,5.2%,16,8,8,44
26Q444,Home Schooling,257,s,s,s,s,s,s
26Q495,Bayside High School,2972,192,6.5%,12,s,s,148
26Q566,"Queens High School of Teaching, Liberal Arts and t",955,26,2.7%,s,s,s,23
26Q700,Universal Pre-K C.B.O.,1011,14,1.4%,s,s,s,11
27Q042,P.S./M.S 042 R. Vernam,638,52,8.2%,30,21,9,21
27Q043,P.S. 043,821,124,15.1%,64,41,23,49
27Q045,P.S. 045 Clarence Witherspoon,321,47,14.6%,37,27,10,10
27Q047,P.S. 047 Chris Galas,264,9,3.4%,s,s,s,8
27Q051,P.S. 051,227,11,4.8%,s,s,s,10
27Q053,M.S. 053 Brian Piccolo,172,30,17.4%,13,s,s,16
27Q056,P.S. 056 Harry Eichler,342,19,5.6%,s,s,s,16
27Q060,P.S. 060 Woodhaven,1081,45,4.2%,12,s,s,33
27Q062,P. S. 62 - Chester Park School,903,8,0.9%,6,s,s,s
27Q063,P.S. 063 Old South,1126,45,4.0%,19,s,s,23
27Q064,P.S. 064 Joseph P. Addabbo,484,14,2.9%,7,s,s,7
27Q065,P.S. 65 - The Raymond York Elementary School,434,19,4.4%,s,s,s,15
27Q066,P.S. 066 Jacqueline Kennedy Onassis,507,19,3.7%,6,s,s,13
27Q090,P.S. 090 Horace Mann,684,46,6.7%,s,s,s,41
27Q096,P.S. 096,304,16,5.3%,s,s,s,12
27Q097,P.S. 097 Forest Park,647,30,4.6%,9,s,s,21
27Q100,P.S. 100 Glen Morris,878,14,1.6%,s,s,s,12
27Q104,P.S. 104 The Bays Water,647,47,7.3%,22,s,s,24
27Q105,P.S. 105 The Bay School,806,82,10.2%,36,24,12,43
27Q106,Lighthouse Elementary School,168,26,15.5%,10,s,s,15
27Q108,P.S. 108 Captain Vincent G. Fowler,1319,39,3.0%,12,s,s,27
27Q114,P.S./M.S. 114 Belle Harbor,651,s,s,s,s,s,s
27Q123,P.S. 123,620,59,9.5%,25,17,8,29
27Q124,P.S. 124 Osmond A Church,1119,28,2.5%,12,s,s,15
27Q137,M.S. 137 America's School of Heroes,1947,25,1.3%,14,s,s,8
27Q146,P.S. 146 Howard Beach,555,13,2.3%,s,s,s,13
27Q155,P.S. 155,566,23,4.1%,6,s,s,16
27Q183,P.S. 183 Dr. Richard R. Green,499,65,13.0%,26,17,9,29
27Q197,P.S. 197 The Ocean School,455,32,7.0%,18,s,s,13
27Q202,J.H.S. 202 Robert H. Goddard,1048,35,3.3%,7,s,s,27
27Q207,P.S. 207 Rockwood Park,668,s,s,s,s,s,s
27Q210,J.H.S. 210 Elizabeth Blackwell,1776,94,5.3%,12,s,s,74
27Q223,P.S. 223 Lyndon B. Johnson,491,31,6.3%,11,s,s,12
27Q226,J.H.S. 226 Virgil I. Grissom,894,98,11.0%,20,13,7,76
27Q232,P.S. 232 Lindenwood,911,20,2.2%,8,s,s,10
27Q253,P.S. 253,537,95,17.7%,16,s,s,75
27Q254,P.S. 254 - The Rosa Parks School,594,19,3.2%,s,s,s,18
27Q260,Frederick Douglass Academy VI High School,250,27,10.8%,13,s,s,7
27Q261,Voyages Prep - South Queens,324,27,8.3%,10,s,s,13
27Q262,Channel View School for Research,1182,48,4.1%,15,s,s,28
27Q273,P.S. 273,312,s,s,s,s,s,s
27Q282,Knowledge and Power Preparatory Academy VI,286,14,4.9%,s,s,s,14
27Q297,Hawtree Creek Middle School,397,9,2.3%,s,s,s,6
27Q302,"Queens High School for Information, Research, and",486,36,7.4%,9,s,s,24
27Q306,New York City Academy for Discovery,357,21,5.9%,s,s,s,16
27Q308,Robert H. Goddard High School of Communication Art,609,12,2.0%,s,s,s,6
27Q309,Academy of Medical Technology: A College Board Sch,732,79,10.8%,24,13,11,54
27Q314,Epic High School - South,413,20,4.8%,s,s,s,13
27Q316,Queens Explorers Elementary School,466,16,3.4%,s,s,s,13
27Q317,Waterside Children's Studio School,486,16,3.3%,7,s,s,s
27Q318,Waterside School For Leadership,198,21,10.6%,s,s,s,18
27Q319,Village Academy,383,49,12.8%,15,s,s,24
27Q323,Scholars' Academy,1254,s,s,s,s,s,s
27Q324,Rockaway Park High School for Environmental Sustai,259,25,9.7%,9,s,s,14
27Q333,Goldie Maple Academy,354,8,2.3%,7,s,s,s
27Q334,Epic High School - North,411,21,5.1%,s,s,s,17
27Q336,Curious Young Learners Pre-K Center,799,7,0.9%,6,s,s,s
27Q351,Rockaway Collegiate High School,299,32,10.7%,17,s,s,13
27Q362,Wave Preparatory Elementary School,498,70,14.1%,25,13,12,40
27Q377,P.S. 377,417,17,4.1%,12,s,s,s
27Q400,August Martin High School,424,59,13.9%,25,16,9,30
27Q444,Home Schooling,590,14,2.4%,s,s,s,6
27Q475,Richmond Hill High School,1624,92,5.7%,19,8,11,62
27Q480,John Adams High School,2454,187,7.6%,30,24,6,157
27Q650,"High School for Construction Trades, Engineering a",1101,7,0.6%,s,s,s,6
27Q700,Universal Pre-K C.B.O.,1873,45,2.4%,16,s,s,23
28Q008,J.H.S. 008 Richard S. Grossley,459,48,10.5%,9,s,s,38
28Q040,P.S. 040 Samuel Huntington,376,42,11.2%,16,s,s,26
28Q048,P.S. 048 William Wordsworth,542,94,17.3%,21,14,7,65
28Q050,P.S. 050 Talfourd Lawn Elementary School,815,64,7.9%,22,14,8,40
28Q054,P.S. 054 Hillside,485,77,15.9%,s,s,s,75
28Q055,P.S. 055 Maure,516,14,2.7%,s,s,s,11
28Q072,Catherine & Count Basie Middle School 72,259,36,13.9%,14,s,s,16
28Q080,PS 80  The Thurgood Marshall Magnet School of Mult,408,52,12.7%,28,19,9,24
28Q082,P.S. 082 Hammond,590,58,9.8%,20,s,s,36
28Q086,P.S. Q086,717,86,12.0%,s,s,s,82
28Q099,P.S. 099 Kew Gardens,721,54,7.5%,9,s,s,45
28Q101,P.S. 101 School in the Gardens,620,s,s,s,s,s,s
28Q117,P.S. 117 J. Keld / Briarwood School,904,73,8.1%,57,41,16,15
28Q121,P.S. 121 Queens,804,18,2.2%,s,s,s,11
28Q139,P.S. 139 Rego Park,675,28,4.1%,s,s,s,26
28Q140,P.S. 140 Edward K Ellington,405,45,11.1%,12,6,6,33
28Q144,P.S. 144 Col Jeromus Remsen,904,15,1.7%,s,s,s,14
28Q157,J.H.S. 157 Stephen A. Halsey,1674,76,4.5%,14,s,s,62
28Q160,P.S. 160 Walter Francis Bishop,639,79,12.4%,26,15,11,51
28Q161,P.S. 161 Arthur Ashe School,617,24,3.9%,s,s,s,19
28Q167,Metropolitan Expeditionary Learning School,839,43,5.1%,s,s,s,36
28Q174,P.S. 174 William Sidney Mount,622,11,1.8%,s,s,s,11
28Q175,P.S. 175 The Lynn Gross Discovery School,782,14,1.8%,s,s,s,14
28Q182,P.S. 182 Samantha Smith,648,100,15.4%,13,s,s,86
28Q190,J.H.S. 190 Russell Sage,1142,45,3.9%,8,s,s,33
28Q196,P.S. 196 Grand Central Parkway,966,s,s,s,s,s,s
28Q206,P.S. 206 The Horace Harding School,595,20,3.4%,8,s,s,10
28Q217,J.H.S. 217 Robert A. Van Wyck,1634,196,12.0%,31,s,s,162
28Q220,P.S. 220 Edward Mandel,670,36,5.4%,s,s,s,32
28Q284,York Early College Academy,628,20,3.2%,s,s,s,14
28Q287,The Emerson School,397,55,13.9%,10,s,s,42
28Q303,The Academy for Excellence through the Arts,374,s,s,s,s,s,s
28Q310,Queens Collegiate: A College Board School,646,37,5.7%,s,s,s,28
28Q312,Jamaica Children's School,243,26,10.7%,13,s,s,9
28Q325,Hillside Arts & Letters Academy,459,35,7.6%,10,s,s,25
28Q328,High School for Community Leadership,477,26,5.5%,s,s,s,20
28Q332,Redwood Middle School,281,22,7.8%,7,s,s,14
28Q335,The Ezra Jack Keats Pre-K Center,234,9,3.8%,s,s,s,8
28Q338,Queens Satellite High School for Opportunity,162,9,5.6%,s,s,s,s
28Q349,The Queens School for Leadership and Excellence,617,68,11.0%,13,s,s,54
28Q350,Jamaica Gateway to the Sciences,527,44,8.3%,12,6,6,31
28Q354,The Jermaine L. Green STEM Institute of Queens,494,55,11.1%,17,11,6,32
28Q358,M.S. 358,354,36,10.2%,s,s,s,33
28Q440,Forest Hills High School,3790,152,4.0%,22,13,9,122
28Q444,Home Schooling,510,14,2.7%,s,s,s,8
28Q505,Hillcrest High School,2857,204,7.1%,29,s,s,174
28Q620,Thomas A. Edison Career and Technical Education Hi,2337,96,4.1%,12,s,s,80
28Q680,Queens Gateway to Health Sciences Secondary School,722,34,4.7%,s,s,s,33
28Q686,Queens Metropolitan High School,1039,22,2.1%,s,s,s,20
28Q687,Queens High School for the Sciences at York Colleg,512,10,2.0%,s,s,s,9
28Q690,High School for Law Enforcement and Public Safety,386,20,5.2%,11,s,s,8
28Q700,Universal Pre-K C.B.O.,2259,62,2.7%,30,s,s,29
28Q896,"Young Women's Leadership School, Queens",580,14,2.4%,s,s,s,9
29Q015,P.S. 015 Jackie Robinson,385,40,10.4%,10,s,s,30
29Q033,P.S. 033 Edward M. Funk,906,29,3.2%,s,s,s,26
29Q034,P.S. 034 John Harvard,557,58,10.4%,8,s,s,48
29Q035,P.S. 035 Nathaniel Woodhull,666,47,7.1%,14,s,s,30
29Q036,P.S. 036 Saint Albans School,341,46,13.5%,10,s,s,36
29Q037,Cynthia Jenkins School,312,63,20.2%,17,7,10,44
29Q038,P.S. 038 Rosedale,257,16,6.2%,s,s,s,8
29Q052,P.S. 052 Queens,342,125,36.5%,109,91,18,16
29Q059,I.S. 059 Springfield Gardens,536,56,10.4%,13,s,s,36
29Q095,P.S. 095 Eastwood,1409,205,14.5%,59,51,8,145
29Q109,Jean Nuzzi Intermediate School,1177,81,6.9%,19,13,6,57
29Q116,P.S./I.S. 116 William C. Hughley,866,108,12.5%,67,61,6,39
29Q118,P.S. 118 Lorraine Hansberry,411,34,8.3%,14,s,s,18
29Q131,P.S. 131 Abigail Adams,715,99,13.8%,s,s,s,96
29Q132,P.S. 132 Ralph Bunche,340,25,7.4%,8,s,s,16
29Q134,P.S. 134 Hollis,301,24,8.0%,13,s,s,7
29Q135,The Bellaire School,814,52,6.4%,28,s,s,24
29Q136,P.S. 136 Roy Wilkins,497,44,8.9%,25,16,9,15
29Q138,P.S./M.S. 138 Sunrise,616,45,7.3%,12,s,s,28
29Q147,P.S./M.S. 147 Ronald McNair,508,37,7.3%,9,s,s,24
29Q156,P.S. 156 Laurelton,169,16,9.5%,9,s,s,7
29Q176,P.S. 176 Cambria Heights,680,8,1.2%,s,s,s,s
29Q181,P.S. 181 Brookfield,302,28,9.3%,16,s,s,11
29Q192,I.S. 192 The Linden,437,51,11.7%,13,7,6,30
29Q195,P.S. 195 William Haberle,424,29,6.8%,12,s,s,12
29Q208,P.S./I.S. 208,752,25,3.3%,s,s,s,20
29Q238,I.S. 238 - Susan B. Anthony Academy,1156,171,14.8%,38,30,8,132
29Q243,Institute for Health Professions at Cambria Height,478,40,8.4%,7,s,s,28
29Q248,Queens Preparatory Academy,242,25,10.3%,6,s,s,15
29Q251,P.S. 251 Queens,299,24,8.0%,8,s,s,15
29Q259,Pathways College Preparatory School: A College Boa,616,47,7.6%,14,s,s,28
29Q265,Excelsior Preparatory High School,407,37,9.1%,14,7,7,21
29Q268,P.S./I.S. 268,633,42,6.6%,10,s,s,27
29Q270,The Gordon Parks School,709,23,3.2%,7,s,s,16
29Q272,George Washington Carver High School for the Scien,353,28,7.9%,14,7,7,14
29Q283,Preparatory Academy for Writers: A College Board S,545,44,8.1%,15,6,9,28
29Q289,Queens United Middle School,178,18,10.1%,8,s,s,6
29Q295,P.S./I.S. 295,560,67,12.0%,8,s,s,59
29Q313,Benjamin Franklin High School for Finance & Inform,435,35,8.0%,8,s,s,23
29Q326,Cambria Heights Academy,362,29,8.0%,s,s,s,24
29Q327,Eagle Academy for Young Men III,410,39,9.5%,11,s,s,23
29Q355,Collaborative Arts Middle School,398,43,10.8%,21,s,s,21
29Q356,Community Voices Middle School,342,60,17.5%,22,9,13,35
29Q360,P.S. 360,327,15,4.6%,6,s,s,9
29Q381,District 29 Pre-K Center,185,11,5.9%,s,s,s,7
29Q444,Home Schooling,422,25,5.9%,14,s,s,10
29Q492,"Mathematics, Science Research and Technology Magne",366,38,10.4%,7,s,s,29
29Q498,Humanities & Arts Magnet High School,379,21,5.5%,8,s,s,13
29Q700,Universal Pre-K C.B.O.,1168,72,6.2%,13,s,s,54
30Q002,P.S. 002 Alfred Zimberg,529,35,6.6%,30,s,s,s
30Q010,I.S. 010 Horace Greeley,773,52,6.7%,9,s,s,40
30Q011,P.S. 011 Kathryn Phelan,839,66,7.9%,7,s,s,59
30Q017,P.S. 017 Henry David Thoreau,583,63,10.8%,11,s,s,51
30Q069,P.S. 069 Jackson Heights,885,24,2.7%,s,s,s,22
30Q070,P.S. 070,821,23,2.8%,6,s,s,16
30Q076,P.S. 076 William Hallet,405,31,7.7%,18,10,8,13
30Q078,P.S./I.S. 78Q,742,8,1.1%,s,s,s,6
30Q084,P.S. 084 Steinway,289,9,3.1%,s,s,s,6
30Q085,P.S. 085 Judge Charles Vallone,594,14,2.4%,s,s,s,12
30Q092,P.S. 092 Harry T. Stewart Sr.,869,9,1.0%,s,s,s,s
30Q111,P.S. 111 Jacob Blackwell,344,80,23.3%,54,35,19,21
30Q112,P.S. 112 Dutch Kills,403,47,11.7%,14,s,s,33
30Q122,P.S. 122 Mamie Fay,1273,30,2.4%,s,s,s,25
30Q126,Albert Shanker School for Visual and Performing Ar,584,41,7.0%,6,s,s,32
30Q127,P.S. 127 Aerospace Science Magnet School,1114,79,7.1%,30,s,s,49
30Q141,I.S. 141 The Steinway,1187,69,5.8%,30,s,s,36
30Q145,I.S. 145 Joseph Pulitzer,1639,158,9.6%,10,s,s,148
30Q148,P.S. 148 Queens,750,74,9.9%,s,s,s,70
30Q149,P.S. 149 Christa McAuliffe,865,132,15.3%,6,s,s,125
30Q150,P.S. 150 Queens,924,54,5.8%,s,s,s,50
30Q151,P.S. 151 Mary D. Carter,308,41,13.3%,13,s,s,28
30Q152,P.S. 152 Gwendoline N. Alleyne School,841,170,20.2%,s,s,s,169
30Q166,P.S. 166 Henry Gradstein,901,36,4.0%,6,s,s,30
30Q171,P.S. 171 Peter G. Van Alst,410,53,12.9%,8,s,s,39
30Q204,I.S. 204 Oliver W. Holmes,381,36,9.4%,9,s,s,26
30Q212,P.S. 212,744,12,1.6%,s,s,s,10
30Q222,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,236,7,3.0%,s,s,s,s
30Q227,I.S. 227 Louis Armstrong,1593,86,5.4%,7,s,s,78
30Q228,The Ivan Lafayette Early Childhood School of the A,254,18,7.1%,s,s,s,18
30Q230,I.S. 230,1162,83,7.1%,6,s,s,77
30Q234,P.S. 234,420,17,4.0%,s,s,s,12
30Q235,Academy for New Americans,96,43,44.8%,s,s,s,41
30Q258,Energy Tech High School,534,9,1.7%,s,s,s,8
30Q280,P.S. 280,562,29,5.2%,s,s,s,29
30Q286,"Young Women's Leadership School, Astoria",606,6,1.0%,s,s,s,6
30Q291,Hunters Point Community Middle School,427,18,4.2%,s,s,s,16
30Q300,The 30th Avenue School (G&T Citywide),540,s,s,s,s,s,s
30Q301,Academy for Careers in Television and Film,576,29,5.0%,s,s,s,24
30Q329,East Elmhurst Community School,459,131,28.5%,s,s,s,127
30Q361,The Woodside Community School,482,45,9.3%,s,s,s,45
30Q384,P.S. 384,159,s,s,s,s,s,s
30Q389,District 30 Pre-K Center,275,10,3.6%,s,s,s,s
30Q398,The Hector Figueroa School,183,8,4.4%,s,s,s,8
30Q444,Home Schooling,547,s,s,s,s,s,s
30Q445,William Cullen Bryant High School,2159,163,7.5%,37,25,12,124
30Q450,Long Island City High School,2142,151,7.0%,51,30,21,95
30Q501,Frank Sinatra School of the Arts High School,887,11,1.2%,s,s,s,9
30Q502,Information Technology High School,940,68,7.2%,s,s,s,63
30Q555,Newcomers High School,754,138,18.3%,s,s,s,136
30Q575,Academy of American Studies,1146,21,1.8%,s,s,s,18
30Q580,Baccalaureate School for Global Education,577,s,s,s,s,s,s
30Q700,Universal Pre-K C.B.O.,1659,50,3.0%,16,s,s,32
31R001,P.S. 001 Tottenville,405,10,2.5%,s,s,s,8
31R002,I.S. R002 George L. Egbert,1000,33,3.3%,s,s,s,30
31R003,P.S. 003 The Margaret Gioiosa School,659,s,s,s,s,s,s
31R004,P.S. 004 Maurice Wollin,748,12,1.6%,s,s,s,11
31R005,P.S. 005 Huguenot,292,9,3.1%,s,s,s,7
31R006,P.S. 6 Corporal Allan F. Kivlehan School,500,s,s,s,s,s,s
31R007,I.S. 007 Elias Bernstein,1203,12,1.0%,s,s,s,11
31R008,P.S. 8 Shirlee Solomon,574,6,1.0%,s,s,s,6
31R009,Naples Street Elementary School,301,s,s,s,s,s,s
31R010,Fort Hill Collaborative Elementary School,214,30,14.0%,13,s,s,15
31R011,P.S. 11 Thomas Dongan School,324,15,4.6%,s,s,s,10
31R013,P.S. 013 M. L. Lindemeyer,846,37,4.4%,6,s,s,27
31R016,P.S. 016 John J. Driscoll,443,57,12.9%,21,s,s,36
31R018,P.S. 018 John G. Whittier,450,70,15.6%,12,s,s,48
31R019,P.S. 019 The Curtis School,538,18,3.3%,7,s,s,11
31R020,P.S. 020 Port Richmond,420,33,7.9%,12,s,s,20
31R021,P.S. 21 Margaret Emery-Elm Park,405,21,5.2%,13,6,7,8
31R022,P.S. 022 Graniteville,870,69,7.9%,11,s,s,52
31R023,P.S. 023 Richmondtown,577,17,2.9%,s,s,s,14
31R024,I.S. 024 Myra S. Barnes,1333,41,3.1%,s,s,s,36
31R026,P.S. 026 The Carteret School,293,s,s,s,s,s,s
31R027,I.S. 027 Anning S. Prall,1078,76,7.1%,15,s,s,56
31R028,The Eagle Academy for Young Men of Staten Island,342,21,6.1%,8,s,s,10
31R029,P.S. 029 Bardwell,645,19,2.9%,s,s,s,14
31R030,P.S. 030 Westerleigh,779,19,2.4%,s,s,s,19
31R031,P.S. 031 William T. Davis,382,34,8.9%,18,11,7,13
31R032,P.S. 032 The Gifford School,664,s,s,s,s,s,s
31R034,I.S. 034 Tottenville,1023,6,0.6%,s,s,s,s
31R035,P.S. 35 The Clove Valley School,431,s,s,s,s,s,s
31R036,P.S. 036 J. C. Drumgoole,841,s,s,s,s,s,s
31R038,P.S. 038 George Cromwell,404,13,3.2%,s,s,s,12
31R039,P.S. 39 Francis J. Murphy Jr.,509,25,4.9%,s,s,s,19
31R041,The Stephanie A. Vierno School,684,8,1.2%,s,s,s,6
31R042,P.S. 042 Eltingville,1065,8,0.8%,s,s,s,8
31R044,P.S. 044 Thomas C. Brown,668,46,6.9%,24,16,8,20
31R045,P.S. 045 John Tyler,851,33,3.9%,12,s,s,20
31R046,P.S. 046 Albert V. Maniscalco,246,11,4.5%,s,s,s,8
31R047,CSI High School for International Studies,507,s,s,s,s,s,s
31R048,P.S. 048 William G. Wilcox,993,13,1.3%,s,s,s,10
31R049,I.S. 49 Berta A. Dreyfus,642,40,6.2%,9,s,s,28
31R050,P.S. 050 Frank Hankinson,727,s,s,s,s,s,s
31R051,I.S. 051 Edwin Markham,1414,92,6.5%,29,12,17,58
31R052,P.S. 052 John C. Thompson,608,26,4.3%,s,s,s,25
31R053,The Barbara Esselborn School,829,14,1.7%,s,s,s,13
31R054,P.S. 054 Charles W. Leng,824,7,0.8%,s,s,s,s
31R055,P.S. 055 Henry M. Boehm,559,s,s,s,s,s,s
31R056,P.S. 56 The Louis Desario School,596,s,s,s,s,s,s
31R057,P.S. 057 Hubert H. Humphrey,620,32,5.2%,7,s,s,20
31R058,Space Shuttle Columbia School,670,31,4.6%,s,s,s,29
31R059,The Harbor View School,307,25,8.1%,s,s,s,21
31R060,P.S. 060 Alice Austen,790,8,1.0%,s,s,s,6
31R061,I.S. 061 William A Morris,1016,76,7.5%,28,17,11,42
31R062,The Kathleen Grimm School for Leadership and Susta,439,s,s,s,s,s,s
31R063,Marsh Avenue School for Expeditionary Learning,461,10,2.2%,s,s,s,8
31R064,Gaynor McCown Expeditionary Learning School,449,11,2.4%,s,s,s,9
31R065,P.S. 65 The Academy of Innovative Learning,406,19,4.7%,6,s,s,7
31R066,The Richmond Pre-K Center,782,10,1.3%,s,s,s,6
31R068,Port Richmond School for Visionary Learning,387,46,11.9%,s,s,s,38
31R069,P.S. 069 Daniel D. Tompkins,893,s,s,s,s,s,s
31R072,I.S. 072 Rocco Laurie,1536,18,1.2%,s,s,s,14
31R074,P.S. 74 Future Leaders Elementary School,276,40,14.5%,27,11,16,12
31R075,I.S. 075 Frank D. Paulo,1455,15,1.0%,s,s,s,15
31R078,P.S. 78,690,63,9.1%,32,22,10,24
31R080,The Michael J. Petrides School,1423,25,1.8%,s,s,s,18
31R440,New Dorp High School,3132,103,3.3%,9,s,s,78
31R444,Home Schooling,994,22,2.2%,11,s,s,8
31R445,Port Richmond High School,1529,110,7.2%,46,8,38,54
31R450,Curtis High School,2462,132,5.4%,41,21,20,73
31R455,Tottenville High School,3730,65,1.7%,s,s,s,59
31R460,Susan E. Wagner High School,3314,86,2.6%,16,6,10,61
31R470,Concord High School,167,13,7.8%,s,s,s,9
31R600,Ralph R. McKee Career and Technical Education High,832,19,2.3%,9,s,s,7
31R605,Staten Island Technical High School,1335,s,s,s,s,s,s
31R700,Universal Pre-K C.B.O.,3466,44,1.3%,7,s,s,33
31R861,Staten Island School of Civic Leadership,883,57,6.5%,6,s,s,47
32K045,P.S./I.S. 045 Horace E. Greene,577,68,11.8%,50,43,7,16
32K075,P.S. 075 Mayda Cortiella,264,47,17.8%,10,s,s,37
32K086,P.S. 086 The Irvington,412,105,25.5%,s,s,s,104
32K106,P.S. 106 Edward Everett Hale,361,56,15.5%,17,9,8,35
