DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
11X700,Universal Pre-K C.B.O.,2027,91,4.5%,32,21,11,56
12X006,P.S. 006 West Farms,525,141,26.9%,68,56,12,69
12X044,P.S. 044 David C. Farragut,264,96,36.4%,84,63,21,12
12X047,P.S. 047 John Randolph,960,59,6.1%,23,15,8,34
12X057,P.S. 057 Crescent,476,68,14.3%,39,27,12,29
12X061,P.S. 061 Francisco Oller,262,59,22.5%,11,s,s,47
12X066,P.S. 066 School of Higher Expectations,574,144,25.1%,107,73,34,37
12X067,P.S. 067 Mohegan School,394,41,10.4%,27,21,6,12
12X098,J.H.S. 098 Herman Ridder,191,39,20.4%,25,s,s,12
12X129,M.S. 129 Academy for Independent Learning and Lead,502,84,16.7%,51,36,15,33
12X134,P.S. 134 George F. Bristow,535,65,12.1%,41,35,6,23
12X150,P.S. 150 Charles James Fox,641,98,15.3%,56,45,11,42
12X190,E.S.M.T- I.S. 190,271,39,14.4%,9,s,s,29
12X195,P.S. 195,807,130,16.1%,42,35,7,86
12X196,P.S. 196,767,113,14.7%,35,23,12,78
12X211,P.S. 211,457,53,11.6%,31,23,8,21
12X214,P.S. 214,1035,146,14.1%,70,46,24,75
12X217,School of Performing Arts,328,73,22.3%,34,18,16,39
12X242,Mott Hall V,678,52,7.7%,13,7,6,38
12X248,"Metropolitan High School, The",164,29,17.7%,11,s,s,9
12X251,Explorations Academy H.S.,338,56,16.6%,31,20,11,22
12X267,Bronx Latin,564,43,7.6%,28,20,8,15
12X271,East Bronx Academy for the Future,675,103,15.3%,43,26,17,51
12X273,Frederick Douglass Academy V. Middle School,207,42,20.3%,21,11,10,20
12X286,Fannie Lou Hamer Middle School,281,46,16.4%,28,19,9,18
12X300,The School of Science and Applied Learning,523,103,19.7%,71,50,21,29
12X314,Fairmont Neighborhood School,253,38,15.0%,24,12,12,14
12X316,Kappa III,365,32,8.8%,10,s,s,15
12X318,"I.S. X318 Math, Science & Technology Through Arts",194,38,19.6%,22,s,s,15
12X341,Accion Academy,317,60,18.9%,13,s,s,45
12X383,Emolior Academy,387,64,16.5%,25,10,15,39
12X388,Pan American International High School at Monroe,402,118,29.4%,28,18,10,79
12X444,Home Schooling,166,17,10.2%,9,s,s,s
12X446,Arturo A. Schomburg Satellite Academy Bronx,184,30,16.3%,14,s,s,12
12X458,Samara Community School,274,31,11.3%,18,s,s,12
12X463,Urban Scholars Community School,408,104,25.5%,53,28,25,47
12X478,The Cinema School,360,31,8.6%,6,s,s,22
12X479,Bronx Career and College Preparatory High School,273,48,17.6%,29,17,12,15
12X480,Bronx Regional High School,140,23,16.4%,11,s,s,7
12X511,Bronx Envision Academy,387,66,17.1%,38,10,28,24
12X521,The Metropolitan Soundview High School,456,62,13.6%,23,15,8,37
12X531,Archer Elementary School,391,68,17.4%,16,7,9,46
12X536,P.S. 536,360,30,8.3%,7,s,s,22
12X550,High School of World Cultures,325,83,25.5%,21,15,6,57
12X595,P.S. 595,238,70,29.4%,37,20,17,32
12X626,District 12 Pre-K Center,10,s,s,s,s,s,s
12X682,Fannie Lou Hamer Freedom High School,479,74,15.4%,38,18,20,33
12X684,Wings Academy,341,54,15.8%,31,15,16,22
12X691,Bronx Little School,322,46,14.3%,s,s,s,41
12X700,Universal Pre-K C.B.O.,566,17,3.0%,11,s,s,6
13K003,P.S. 003 The Bedford Village,266,66,24.8%,18,12,6,48
13K008,P.S. 008 Robert Fulton,730,7,1.0%,s,s,s,s
13K009,Public School 9 The Sarah Smith Garnet School,855,32,3.7%,17,8,9,15
13K011,P.S. 011 Purvis J. Behan,875,53,6.1%,10,s,s,43
13K020,P.S. 020 Clinton Hill,554,44,7.9%,8,s,s,36
13K044,P.S. 044 Marcus Garvey,135,32,23.7%,18,10,8,12
13K046,P.S. 046 Edward C. Blum,226,35,15.5%,16,s,s,18
13K054,P.S. 054 Samuel C. Barnes,190,15,7.9%,12,s,s,s
13K056,P.S. 056 Lewis H. Latimer,278,16,5.8%,s,s,s,9
13K067,P.S. 067 Charles A. Dorsey,222,38,17.1%,22,16,6,9
13K093,P.S. 093 William H. Prescott,186,32,17.2%,27,19,8,s
13K113,M.S. 113 Ronald Edmonds Learning Center,326,47,14.4%,21,10,11,25
13K133,P.S. 133 William A. Butler,669,28,4.2%,12,s,s,13
13K256,P.S. 256 Benjamin Banneker,203,36,17.7%,25,s,s,11
13K265,Dr. Susan S. McKinney Secondary School of the Arts,335,26,7.8%,14,8,6,10
13K266,M.S. K266 - Park Place Community Middle School,150,16,10.7%,6,s,s,9
13K270,P.S. 270 Johann DeKalb,97,12,12.4%,8,s,s,s
13K282,P.S. 282 Park Slope,532,19,3.6%,8,s,s,9
13K287,P.S. 287 Bailey K. Ashford,122,s,s,s,s,s,s
13K301,Satellite East Middle School,84,10,11.9%,s,s,s,s
13K307,P.S. 307 Daniel Hale Williams,335,50,14.9%,17,s,s,32
13K313,Dock Street School for STEAM Studies,283,22,7.8%,s,s,s,15
13K350,Urban Assembly School of Music and Art,169,18,10.7%,8,s,s,10
13K351,The Urban Assembly Unison School,198,18,9.1%,11,s,s,7
13K412,Brooklyn Community Arts & Media High School (BCAM),540,66,12.2%,32,13,19,28
13K419,"Science Skills Center High School for Science, Tec",586,63,10.8%,26,14,12,34
13K430,Brooklyn Technical High School,5946,141,2.4%,8,s,s,96
13K439,Brooklyn International High School,354,68,19.2%,7,s,s,58
13K444,Home Schooling,231,7,3.0%,s,s,s,s
13K483,The Urban Assembly School for Law and Justice,469,15,3.2%,10,s,s,s
13K492,Academy of Arts and Letters,686,23,3.4%,7,s,s,12
13K527,Urban Assembly Institute of Math and Science for Y,508,49,9.6%,21,10,11,26
13K553,Brooklyn Academy High School,122,17,13.9%,11,s,s,s
13K594,Gotham Professional Arts Academy,170,18,10.6%,9,s,s,8
13K595,Bedford Academy High School,397,19,4.8%,7,s,s,11
13K605,George Westinghouse Career and Technical Education,706,43,6.1%,19,12,7,23
13K616,Brooklyn High School for Leadership and Community,155,26,16.8%,18,9,9,6
13K670,Benjamin Banneker Academy,875,66,7.5%,29,11,18,33
13K674,"City Polytechnic High School of Engineering, Archi",466,26,5.6%,8,s,s,17
13K691,Fort Greene Preparatory Academy,195,20,10.3%,7,s,s,11
13K700,Universal Pre-K C.B.O.,512,8,1.6%,s,s,s,s
13K869,District 13 PRE-K Center,69,s,s,s,s,s,s
13K915,I.S. 915,301,s,s,s,s,s,s
14K016,P.S. 016 Leonard Dunkly,192,33,17.2%,10,s,s,21
14K017,P.S. 017 Henry D. Woodworth,267,29,10.9%,13,s,s,16
14K018,P.S. 018 Edward Bush,203,43,21.2%,7,s,s,36
14K023,P.S. 023 Carter G. Woodson,263,87,33.1%,35,23,12,51
14K031,P.S. 031 Samuel F. Dupont,596,95,15.9%,s,s,s,91
14K034,P.S. 034 Oliver H. Perry,457,9,2.0%,s,s,s,6
14K050,J.H.S. 050 John D. Wells,339,43,12.7%,9,s,s,33
14K059,P.S. 059 William Floyd,306,41,13.4%,34,20,14,7
14K071,Juan Morel Campos Secondary School,502,73,14.5%,22,14,8,46
14K084,P.S. 084 Jose De Diego,714,66,9.2%,6,s,s,59
14K110,P.S. 110 The Monitor,548,6,1.1%,s,s,s,s
14K120,P.S. 120 Carlos Tapia,346,90,26.0%,18,s,s,68
14K126,John Ericsson Middle School 126,277,38,13.7%,12,s,s,25
14K132,P.S. 132 The Conselyea School,693,25,3.6%,11,s,s,13
14K147,P.S. 147 Isaac Remsen,308,39,12.7%,12,s,s,24
14K157,P.S./I.S. 157 The Benjamin Franklin Health & Scien,345,23,6.7%,16,s,s,6
14K196,P.S. 196 Ten Eyck,303,54,17.8%,13,6,7,40
14K250,P.S. 250 George H. Lindsay,372,61,16.4%,12,s,s,48
14K257,P.S. 257 John F. Hylan,541,64,11.8%,31,s,s,33
14K297,P.S. 297 Abraham Stockton,203,51,25.1%,9,s,s,41
14K318,I.S. 318 Eugenio Maria De Hostos,1287,83,6.4%,14,7,7,67
14K319,P.S. 319,118,s,s,s,s,s,s
14K380,P.S. 380 John Wayne Elementary,491,46,9.4%,10,s,s,36
14K414,Brooklyn Arbor Elementary School,570,25,4.4%,8,s,s,17
14K444,Home Schooling,169,7,4.1%,s,s,s,s
14K449,"Brooklyn Latin School, The",846,19,2.2%,s,s,s,15
14K454,The Williamsburg High School of Art and Technology,386,44,11.4%,20,6,14,20
14K474,PROGRESS High School for Professional Careers,528,88,16.7%,35,13,22,47
14K477,East Williamsburg Scholars Academy,320,56,17.5%,15,8,7,36
14K478,"The High School for Enterprise, Business and Techn",677,67,9.9%,29,13,16,33
14K488,Brooklyn Preparatory High School,523,37,7.1%,13,s,s,22
14K558,Williamsburg High School for Architecture and Desi,607,33,5.4%,7,s,s,24
14K561,Williamsburg Preparatory School,707,34,4.8%,7,s,s,26
14K577,Conselyea Preparatory School,478,27,5.6%,s,s,s,25
14K582,M.S. 582,361,66,18.3%,13,s,s,53
14K586,Lyons Community School,411,54,13.1%,22,9,13,32
14K610,A-Tech High School,337,22,6.5%,6,s,s,15
14K614,Young Women's Leadership School of Brooklyn,380,36,9.5%,16,8,8,16
14K685,El Puente Academy for Peace and Justice,221,23,10.4%,7,s,s,14
14K700,Universal Pre-K C.B.O.,863,19,2.2%,8,s,s,10
15K001,P.S. 001 The Bergen,967,33,3.4%,6,s,s,26
15K010,"Magnet School of Math, Science and Design Technolo",874,19,2.2%,6,s,s,10
15K015,P.S. 015 Patrick F. Daly,435,46,10.6%,29,18,11,16
15K024,P.S. 024,564,88,15.6%,19,s,s,67
15K029,P.S. 029 John M. Harrigan,817,s,s,s,s,s,s
15K032,P.S. 032 Samuel Mills Sprole,465,33,7.1%,11,s,s,22
15K038,P.S. 038 The Pacific,549,20,3.6%,11,s,s,9
15K039,P.S. 039 Henry Bristow,456,s,s,s,s,s,s
15K051,M.S. 51 William Alexander,1157,54,4.7%,7,s,s,44
15K058,P.S. 058 The Carroll,869,10,1.2%,s,s,s,6
15K088,J.H.S. 088 Peter Rouget,1474,64,4.3%,12,s,s,49
15K094,P.S. 094 The Henry Longfellow,1146,66,5.8%,s,s,s,59
15K107,P.S. 107 John W. Kimball,506,s,s,s,s,s,s
15K118,The Maurice Sendak Community School,294,s,s,s,s,s,s
15K124,P.S. 124 Silas B. Dutcher,289,61,21.1%,44,s,s,17
15K130,P.S. 130 The Parkside,878,27,3.1%,7,s,s,19
15K131,P.S. 131 Brooklyn,767,70,9.1%,s,s,s,66
15K136,I.S. 136 Charles O. Dewey,507,35,6.9%,20,10,10,15
15K146,"The Brooklyn New School, P.S. 146",721,14,1.9%,s,s,s,9
15K154,The Windsor Terrace School,452,s,s,s,s,s,s
15K169,P.S. 169 Sunset Park,1223,80,6.5%,s,s,s,65
15K172,P.S. 172 Beacon School of Excellence,572,16,2.8%,s,s,s,13
15K230,P.S. 230 Doris L. Cohen,1066,151,14.2%,11,s,s,140
15K261,P.S. 261 Philip Livingston,703,21,3.0%,s,s,s,16
15K295,P.S. 295,373,15,4.0%,11,s,s,s
15K321,P.S. 321 William Penn,1379,8,0.6%,s,s,s,s
15K418,The Children's School,277,s,s,s,s,s,s
15K423,Brooklyn Frontiers High School,160,12,7.5%,8,s,s,s
15K429,Digital Arts and Cinema Technology High School,337,16,4.7%,9,s,s,6
15K442,M.S. 442 Carroll Gardens School for Innovation,359,13,3.6%,s,s,s,10
15K443,New Voices School of Academic & Creative Arts,611,15,2.5%,s,s,s,10
15K444,Home Schooling,326,s,s,s,s,s,s
15K447,The Math & Science Exploratory School,576,23,4.0%,13,s,s,9
15K448,Brooklyn Collaborative Studies,688,57,8.3%,17,s,s,31
15K462,John Jay School for Law,487,46,9.4%,24,13,11,17
15K463,Cyberarts Studio Academy,255,21,8.2%,6,s,s,14
15K464,Park Slope Collegiate,694,43,6.2%,11,s,s,29
15K497,The Boerum Hill School for International Studies,784,52,6.6%,13,s,s,33
15K516,Sunset Park Avenues Elementary School,446,31,7.0%,s,s,s,28
15K519,Cobble Hill School of American Studies,483,59,12.2%,28,9,19,28
15K529,West Brooklyn Community High School,216,15,6.9%,s,s,s,13
15K592,Khalil Gibran International Academy,163,19,11.7%,8,s,s,10
15K656,Brooklyn High School of the Arts,946,43,4.5%,22,12,10,20
15K667,Sunset Park High School,1299,98,7.5%,21,12,9,71
15K676,Red Hook Neighborhood School,108,21,19.4%,11,s,s,8
15K684,Millennium Brooklyn HS,690,9,1.3%,s,s,s,8
15K698,South Brooklyn Community High School,197,19,9.6%,7,s,s,8
15K700,Universal Pre-K C.B.O.,1198,43,3.6%,6,s,s,37
15K767,The Little Brooklyn Pre-K Center,136,s,s,s,s,s,s
15K821,Sunset Park Prep,527,51,9.7%,10,s,s,40
15K839,M.S. 839,371,30,8.1%,s,s,s,25
