District,Year,Enrolled,Status,Percentage
7,2019,260513.0,Absent Percentage,11.550287317715432
7,2019,173587.0,Absent Percentage,16.661385933278414
7,2020,164002.0,Absent Percentage,19.843050694503724
7,2020,346644.0,Absent Percentage,16.75494166926299
7,2020,297889.0,Absent Percentage,16.50245561266109
7,2020,280653.0,Absent Percentage,16.590594078809062
7,2020,312803.0,Absent Percentage,15.519352435878172
7,2020,222543.0,Absent Percentage,14.04088198685198
7,2020,328066.0,Absent Percentage,14.038333749916177
7,2020,327252.0,Absent Percentage,14.140173322088176
7,2020,310527.0,Absent Percentage,13.877054169202676
7,2020,284394.0,Absent Percentage,16.680731661005506
8,2018,394596.0,Absent Percentage,9.33613113158775
8,2018,580155.0,Absent Percentage,8.392584740284924
8,2018,475194.0,Absent Percentage,11.02707525768423
8,2018,395568.0,Absent Percentage,10.410093839744368
8,2018,524956.0,Absent Percentage,12.474569297236341
8,2018,368582.0,Absent Percentage,10.688530639043686
8,2018,525551.0,Absent Percentage,10.76679523014893
8,2018,420798.0,Absent Percentage,9.99196764243176
8,2018,579280.0,Absent Percentage,11.072710951526032
8,2018,362879.0,Absent Percentage,17.741175433133357
8,2019,437144.0,Absent Percentage,8.603343520670533
8,2019,514805.0,Absent Percentage,8.855003350783306
8,2019,437584.0,Absent Percentage,10.202155471863687
8,2019,386131.0,Absent Percentage,11.630508816955903
8,2019,513781.0,Absent Percentage,11.258688040235041
8,2019,385383.0,Absent Percentage,10.195571678044958
8,2019,257267.0,Absent Percentage,14.918742007330904
8,2020,240633.0,Absent Percentage,18.714390794280085
8,2020,509879.0,Absent Percentage,11.788287024960823
8,2020,437821.0,Absent Percentage,10.45290198505782
8,2020,413189.0,Absent Percentage,9.809070425398545
8,2020,461310.0,Absent Percentage,9.74377316771802
8,2020,331673.0,Absent Percentage,8.756516207228204
8,2020,482820.0,Absent Percentage,8.84698231224887
8,2020,482268.0,Absent Percentage,9.108006336725637
8,2020,458379.0,Absent Percentage,9.291874191444197
8,2020,416740.0,Absent Percentage,13.763497624418102
9,2018,483113.0,Absent Percentage,9.704768863599199
9,2018,709784.0,Absent Percentage,8.043292043776699
9,2018,579111.0,Absent Percentage,10.433060328676195
9,2018,482269.0,Absent Percentage,9.817342603401837
9,2018,647776.0,Absent Percentage,12.107271649459072
9,2018,449275.0,Absent Percentage,9.563185131600912
9,2018,640940.0,Absent Percentage,9.447998252566544
9,2018,512735.0,Absent Percentage,9.425726739933884
9,2018,703715.0,Absent Percentage,10.189494326538442
9,2018,454638.0,Absent Percentage,16.91257659940436
9,2019,523421.0,Absent Percentage,8.589452849618183
9,2019,616565.0,Absent Percentage,7.857727895680099
9,2019,524270.0,Absent Percentage,8.982013084860855
9,2019,462457.0,Absent Percentage,10.418049678132236
9,2019,620977.0,Absent Percentage,10.954512002860008
9,2019,464156.0,Absent Percentage,9.360215100095658
9,2019,309397.0,Absent Percentage,13.163669977407666
9,2020,287849.0,Absent Percentage,17.54774204530848
9,2020,608723.0,Absent Percentage,14.082431582181057
9,2020,522040.0,Absent Percentage,11.49413838020075
9,2020,492481.0,Absent Percentage,10.960828945685213
9,2020,549594.0,Absent Percentage,10.776682423752806
9,2020,394097.0,Absent Percentage,9.747346465464087
9,2020,576420.0,Absent Percentage,9.373547066375213
9,2020,576280.0,Absent Percentage,9.72808357048657
9,2020,547909.0,Absent Percentage,9.649230072877065
9,2020,497539.0,Absent Percentage,13.433117805840347
10,2018,773940.0,Absent Percentage,7.927487918960126
10,2018,1135015.0,Absent Percentage,6.628106236481456
10,2018,927627.0,Absent Percentage,8.702204657691077
10,2018,771339.0,Absent Percentage,8.41523636170348
10,2018,1017406.0,Absent Percentage,10.571492599807748
10,2018,719768.0,Absent Percentage,8.209450823042982
10,2018,1028362.0,Absent Percentage,8.212477707266508
10,2018,821840.0,Absent Percentage,8.04487491482527
10,2018,1130222.0,Absent Percentage,8.702007216281404
10,2018,701385.0,Absent Percentage,14.477640668106675
10,2019,854236.0,Absent Percentage,6.788522141422276
10,2019,1007091.0,Absent Percentage,6.4810429246215095
10,2019,855617.0,Absent Percentage,7.720393587317691
10,2019,753720.0,Absent Percentage,8.91551239186966
10,2019,991958.0,Absent Percentage,9.774607392651705
10,2019,753133.0,Absent Percentage,7.906837172186054
10,2019,501907.0,Absent Percentage,11.943646930606667
10,2020,477858.0,Absent Percentage,17.45978930979496
10,2020,1010555.0,Absent Percentage,12.265735165329943
10,2020,866445.0,Absent Percentage,11.20048012280064
10,2020,816551.0,Absent Percentage,10.249819056005075
10,2020,911361.0,Absent Percentage,10.290104579853647
10,2020,654064.0,Absent Percentage,9.605482032339344
10,2020,957556.0,Absent Percentage,8.947779555451588
10,2020,956700.0,Absent Percentage,9.262673774432946
10,2020,908369.0,Absent Percentage,9.735030587789764
10,2020,826089.0,Absent Percentage,14.442753746872311
11,2018,554895.0,Absent Percentage,7.24064913181773
11,2018,813898.0,Absent Percentage,6.739296570331908
11,2018,664619.0,Absent Percentage,8.828366327173914
11,2018,553869.0,Absent Percentage,8.134233907295767
11,2018,735310.0,Absent Percentage,9.889978376467068
11,2018,517675.0,Absent Percentage,8.253054522625199
11,2018,737546.0,Absent Percentage,8.258196776879
11,2018,591073.0,Absent Percentage,7.820861382604178
11,2018,809318.0,Absent Percentage,8.875374080398558
11,2018,504608.0,Absent Percentage,15.741526095503836
11,2019,612813.0,Absent Percentage,6.678056764461589
11,2019,719951.0,Absent Percentage,6.5332223998577685
11,2019,610936.0,Absent Percentage,7.7847761467649645
11,2019,539708.0,Absent Percentage,9.14976246414728
11,2019,719131.0,Absent Percentage,9.301365119846036
11,2019,540331.0,Absent Percentage,8.414286798277352
11,2019,360262.0,Absent Percentage,12.60860151778428
11,2020,339246.0,Absent Percentage,16.355977668122836
11,2020,717198.0,Absent Percentage,11.803574466186465
11,2020,614516.0,Absent Percentage,10.15075278755964
11,2020,579412.0,Absent Percentage,9.275783035215012
11,2020,647275.0,Absent Percentage,8.725503070565061
11,2020,467457.0,Absent Percentage,8.324615953980793
11,2020,678938.0,Absent Percentage,8.23109032047109
11,2020,678295.0,Absent Percentage,8.607022018443303
11,2020,644332.0,Absent Percentage,9.377463791958183
11,2020,580026.0,Absent Percentage,14.186260615903427
12,2018,315374.0,Absent Percentage,10.142877979795417
12,2018,464610.0,Absent Percentage,8.943414907126407
12,2018,379319.0,Absent Percentage,11.251215994980477
12,2018,315709.0,Absent Percentage,10.575244924915033
12,2018,419754.0,Absent Percentage,12.624537228948384
12,2018,295257.0,Absent Percentage,10.466813657254527
12,2018,419952.0,Absent Percentage,10.481674096087172
12,2018,336368.0,Absent Percentage,9.863601769490558
12,2018,462551.0,Absent Percentage,10.795566326740188
12,2018,295064.0,Absent Percentage,17.05426619309709
12,2019,340142.0,Absent Percentage,8.234208066043006
12,2019,402136.0,Absent Percentage,8.243231145682058
12,2019,341953.0,Absent Percentage,9.36210531856717
12,2019,301497.0,Absent Percentage,10.808399420226404
12,2019,404027.0,Absent Percentage,11.026243295621333
12,2019,301524.0,Absent Percentage,9.585638290815988
12,2019,201147.0,Absent Percentage,13.775497521712976
12,2020,183877.0,Absent Percentage,19.13181093883411
12,2020,389128.0,Absent Percentage,13.675448695544912
12,2020,334867.0,Absent Percentage,12.938569641081385
12,2020,316078.0,Absent Percentage,11.303855377470118
12,2020,352986.0,Absent Percentage,10.623084201639726
12,2020,253441.0,Absent Percentage,10.252090230073271
12,2020,370275.0,Absent Percentage,9.552899871716967
12,2020,370547.0,Absent Percentage,10.24755294200196
12,2020,352574.0,Absent Percentage,10.209204308882674
12,2020,320328.0,Absent Percentage,12.880547438875153
13,2018,314730.0,Absent Percentage,6.867155974962666
13,2018,460412.0,Absent Percentage,6.4707262191254795
13,2018,375581.0,Absent Percentage,8.155364621746042
13,2018,312618.0,Absent Percentage,8.135168160502595
13,2018,381410.0,Absent Percentage,9.658635064628616
13,2018,290281.0,Absent Percentage,8.7380848212594
13,2018,414125.0,Absent Percentage,8.418231210383338
13,2018,330911.0,Absent Percentage,8.447588626549132
13,2018,448378.0,Absent Percentage,9.233949926178358
13,2018,246183.0,Absent Percentage,15.15092431240175
13,2019,352994.0,Absent Percentage,5.907749140212015
13,2019,414005.0,Absent Percentage,5.927947730099878
13,2019,351954.0,Absent Percentage,7.485637327605311
13,2019,309821.0,Absent Percentage,9.447390590050384
13,2019,378010.0,Absent Percentage,9.064575011243088
13,2019,308693.0,Absent Percentage,8.101900593793834
13,2019,205833.0,Absent Percentage,12.768603673852102
13,2020,202725.0,Absent Percentage,11.44062153163152
13,2020,422563.0,Absent Percentage,8.742838345998113
13,2020,361336.0,Absent Percentage,8.72761086634047
13,2020,340421.0,Absent Percentage,8.811148548415051
13,2020,379675.0,Absent Percentage,9.220254164746164
13,2020,266140.0,Absent Percentage,9.446156158412865
13,2020,396758.0,Absent Percentage,10.695184470130407
13,2020,396594.0,Absent Percentage,10.800465967715093
13,2020,376678.0,Absent Percentage,9.960496763814186
13,2020,346581.0,Absent Percentage,9.70682178192111
14,2018,266328.0,Absent Percentage,7.668363822054008
14,2018,389854.0,Absent Percentage,7.35788269454719
14,2018,318165.0,Absent Percentage,9.122310750711108
14,2018,264605.0,Absent Percentage,9.436707545208895
14,2018,344991.0,Absent Percentage,11.480009623439452
14,2018,246389.0,Absent Percentage,9.549127599040542
14,2018,351476.0,Absent Percentage,9.38243293994469
14,2018,280802.0,Absent Percentage,9.28554639924217
14,2018,385406.0,Absent Percentage,10.383336014488616
14,2018,235270.0,Absent Percentage,14.526288944616821
14,2019,296850.0,Absent Percentage,7.214081185784066
