District,Borough,Year,Present,Absent,Enrolled,Attendance Rate
10,X,2020,885925.0,123952.0,1010555.0,0.8766717298910005
10,X,2020,769003.0,97046.0,866445.0,0.887538158798308
10,X,2020,732523.0,83695.0,816551.0,0.8970939965782909
10,X,2020,817209.0,93780.0,911361.0,0.8966907734695692
10,X,2020,590993.0,62826.0,654064.0,0.903570598595856
10,X,2020,871528.0,85680.0,957556.0,0.9101587792254447
10,X,2020,867740.0,88616.0,956700.0,0.9070136929026864
10,X,2020,819627.0,88430.0,908369.0,0.9023062213703902
10,X,2020,705729.0,119310.0,826089.0,0.854301413043873
11,X,2018,514658.0,40178.0,554895.0,0.9274871822597068
11,X,2018,758971.0,54851.0,813898.0,0.9325136565024118
11,X,2018,605852.0,58675.0,664619.0,0.9115779115553422
11,X,2018,508690.0,45053.0,553869.0,0.9184301703110302
11,X,2018,660941.0,72722.0,735310.0,0.8988603446165563
11,X,2018,474537.0,42724.0,517675.0,0.9166697252136958
11,X,2018,674824.0,60908.0,737546.0,0.9149585246208372
11,X,2018,544759.0,46227.0,591073.0,0.9216441962329526
11,X,2018,736543.0,71830.0,809318.0,0.910078609397048
11,X,2018,424747.0,79433.0,504608.0,0.8417365559008181
11,X,2019,571860.0,40924.0,612813.0,0.9331721095995026
11,X,2019,672851.0,47036.0,719951.0,0.934578881062739
11,X,2019,563046.0,47560.0,610936.0,0.9216120837534536
11,X,2019,490225.0,49382.0,539708.0,0.9083152371282248
11,X,2019,647202.0,66889.0,719131.0,0.8999778899811022
11,X,2019,494772.0,45465.0,540331.0,0.915683164578749
11,X,2019,309975.0,45424.0,360262.0,0.8604154754040115
11,X,2020,283759.0,55487.0,339246.0,0.8364402233187717
11,X,2020,632538.0,84655.0,717198.0,0.8819572837626429
11,X,2020,552123.0,62378.0,614516.0,0.8984680626704593
11,X,2020,525655.0,53745.0,579412.0,0.907221458996362
11,X,2020,590788.0,56478.0,647275.0,0.9127310648487892
11,X,2020,428541.0,38914.0,467457.0,0.916749561991798
11,X,2020,623052.0,55884.0,678938.0,0.9176861510182078
11,X,2020,619844.0,58381.0,678295.0,0.9138265798804356
11,X,2020,583900.0,60422.0,644332.0,0.9062098421310752
11,X,2020,493338.0,82284.0,580026.0,0.8505446307579315
12,X,2018,283378.0,31988.0,315374.0,0.898545853494581
