District,Year,Attendance Percentage,Number Tested,Mean Scale Score,Pct Level 1,Pct Level 2,Pct Level 3,Pct Level 4,Pct Level 3 and 4,Subject,DBN,Total Enrollment,Economic Need Index,Borough
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M448,492.0,0.85,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M450,680.0,0.653,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M458,181.0,0.895,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M515,531.0,0.95,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M539,1806.0,0.291,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M650,168.0,0.9,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M696,613.0,0.425,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M839,358.0,0.642,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M015,190.0,0.867,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M019,236.0,0.7040000000000001,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M020,464.0,0.784,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M034,296.0,0.95,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M063,229.0,0.784,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M064,236.0,0.916,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M110,396.0,0.627,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M134,245.0,0.946,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M140,372.0,0.933,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M142,329.0,0.902,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M184,707.0,0.6709999999999999,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M188,398.0,0.95,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M292,226.0,0.878,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M315,330.0,0.382,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M332,218.0,0.8170000000000001,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M361,336.0,0.536,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M363,306.0,0.462,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M364,344.0,0.5720000000000001,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M378,204.0,0.8540000000000001,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M448,492.0,0.85,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M450,680.0,0.653,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M458,181.0,0.895,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M515,531.0,0.95,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M539,1806.0,0.291,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M650,168.0,0.9,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M696,613.0,0.425,Manhattan
01,2019,90.96165466,3893.0,604.0,27.5,20.0,19.5,33.0,52.5,Math,01M839,358.0,0.642,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M015,193.0,0.8640000000000001,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M019,212.0,0.696,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M020,412.0,0.77,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M034,273.0,0.95,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M063,208.0,0.765,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M064,220.0,0.903,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M110,373.0,0.6509999999999999,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M134,217.0,0.942,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M140,358.0,0.925,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M142,317.0,0.907,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M184,721.0,0.655,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M188,370.0,0.95,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M292,296.0,0.8340000000000001,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M315,297.0,0.3979999999999999,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M332,207.0,0.853,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M361,304.0,0.546,Manhattan
