Year,Borough,District,Poverty %,Economic Need Index,High % Poverty,High Economic Need Index
2019,Manhattan,6,0.8528695652173915,0.8503913043478263,Low,Low
2019,Queens,24,0.7719285714285713,0.7425178571428568,Low,Low
2019,Queens,25,0.6961914893617024,0.6437021276595744,Low,Low
2019,Queens,26,0.5280606060606061,0.45521212121212123,Low,Low
2019,Queens,27,0.7748593750000003,0.7251249999999999,Low,Low
2019,Queens,28,0.7034509803921569,0.6555686274509803,Low,Low
2019,Queens,29,0.7516170212765958,0.6633617021276595,Low,Low
2019,Queens,30,0.6991764705882353,0.6855882352941178,Low,Low
2019,Staten Island,31,0.6089863013698632,0.5771780821917809,Low,Low
2019,Bronx,7,0.9156249999999998,0.9258249999999999,High,High
2019,Bronx,8,0.8555882352941179,0.861921568627451,Low,High
2019,Bronx,9,0.9210142857142861,0.9315142857142862,High,High
