DBN_,Economic Need Index_2019-20,Economic Need Index_2020-21,Economic Need Index_2021-22,Total Enrollment_2019-20,Total Enrollment_2020-21,Total Enrollment_2021-22,District_,Borough_
30Q148,0.802,0.805,0.743,772.0,728.0,689.0,30,Q
30Q149,0.825,0.838,0.7979999999999999,940.0,856.0,803.0,30,Q
30Q150,0.596,0.564,0.5539999999999999,1014.0,918.0,838.0,30,Q
30Q151,0.92,0.902,0.8370000000000001,317.0,294.0,301.0,30,Q
30Q152,0.779,0.789,0.774,937.0,827.0,744.0,30,Q
30Q166,0.602,0.575,0.57,947.0,894.0,791.0,30,Q
30Q171,0.909,0.907,0.855,430.0,397.0,406.0,30,Q
30Q204,0.895,0.884,0.8390000000000001,445.0,382.0,378.0,30,Q
30Q212,0.631,0.629,0.62,757.0,725.0,692.0,30,Q
30Q222,0.5379999999999999,0.591,0.519,276.0,228.0,214.0,30,Q
30Q227,0.628,0.617,0.6,1570.0,1541.0,1508.0,30,Q
30Q228,0.7809999999999999,0.746,0.7020000000000001,290.0,250.0,221.0,30,Q
30Q230,0.752,0.7659999999999999,0.731,1192.0,1133.0,1081.0,30,Q
30Q234,0.736,0.73,0.677,455.0,400.0,392.0,30,Q
30Q235,0.722,0.7559999999999999,0.7340000000000001,85.0,74.0,118.0,30,Q
30Q258,0.684,0.7020000000000001,0.7070000000000001,512.0,527.0,524.0,30,Q
30Q280,0.85,0.805,0.7659999999999999,575.0,526.0,522.0,30,Q
30Q286,0.6970000000000001,0.672,0.649,578.0,597.0,577.0,30,Q
30Q291,0.599,0.623,0.635,420.0,417.0,378.0,30,Q
30Q300,0.298,0.295,0.28300000000000003,544.0,534.0,483.0,30,Q
30Q301,0.617,0.642,0.635,548.0,571.0,544.0,30,Q
30Q329,0.85,0.853,0.8440000000000001,448.0,439.0,435.0,30,Q
30Q361,0.665,0.662,0.64,417.0,480.0,469.0,30,Q
30Q384,0.225,0.244,0.152,105.0,136.0,240.0,30,Q
30Q389,0.391,0.33299999999999996,0.298,262.0,251.0,281.0,30,Q
30Q398,0.575,0.593,0.5589999999999999,124.0,183.0,255.0,30,Q
30Q445,0.818,0.828,0.8220000000000001,2287.0,2141.0,2025.0,30,Q
30Q450,0.8270000000000001,0.8390000000000001,0.826,2204.0,2157.0,2020.0,30,Q
30Q501,0.355,0.332,0.33,851.0,874.0,868.0,30,Q
30Q502,0.7859999999999999,0.815,0.81,976.0,948.0,894.0,30,Q
30Q555,0.95,0.95,0.95,792.0,676.0,821.0,30,Q
30Q575,0.552,0.5720000000000001,0.579,1025.0,1118.0,1199.0,30,Q
30Q580,0.441,0.41700000000000004,0.41600000000000004,557.0,579.0,528.0,30,Q
31R001,0.34,0.34299999999999997,0.331,442.0,390.0,399.0,31,R
31R002,0.685,0.6659999999999999,0.6659999999999999,1056.0,986.0,939.0,31,R
31R003,0.282,0.311,0.39,668.0,634.0,630.0,31,R
31R004,0.363,0.331,0.354,745.0,735.0,754.0,31,R
31R005,0.20800000000000002,0.21899999999999997,0.244,315.0,282.0,298.0,31,R
31R006,0.34299999999999997,0.301,0.32799999999999996,533.0,470.0,467.0,31,R
31R007,0.31,0.297,0.33799999999999997,1184.0,1195.0,1154.0,31,R
31R008,0.331,0.34,0.355,590.0,557.0,540.0,31,R
31R009,0.43,0.42200000000000004,0.41600000000000004,318.0,298.0,284.0,31,R
31R010,0.935,0.924,0.88,192.0,205.0,202.0,31,R
31R011,0.7,0.708,0.654,320.0,313.0,334.0,31,R
31R013,0.73,0.735,0.733,865.0,827.0,795.0,31,R
31R016,0.917,0.9009999999999999,0.9129999999999999,445.0,417.0,433.0,31,R
31R018,0.924,0.9209999999999999,0.885,465.0,432.0,419.0,31,R
31R019,0.857,0.846,0.8220000000000001,560.0,535.0,458.0,31,R
31R020,0.93,0.903,0.88,420.0,405.0,378.0,31,R
31R021,0.8740000000000001,0.8759999999999999,0.8420000000000001,392.0,402.0,376.0,31,R
31R022,0.8140000000000001,0.79,0.769,925.0,845.0,806.0,31,R
31R023,0.37799999999999995,0.39299999999999996,0.389,564.0,565.0,572.0,31,R
31R024,0.392,0.375,0.359,1364.0,1308.0,1289.0,31,R
31R026,0.45399999999999996,0.425,0.429,292.0,285.0,277.0,31,R
31R027,0.7,0.698,0.6829999999999999,1070.0,1045.0,989.0,31,R
31R028,0.8270000000000001,0.848,0.856,306.0,343.0,317.0,31,R
31R029,0.46399999999999997,0.488,0.46,632.0,640.0,602.0,31,R
31R030,0.344,0.34299999999999997,0.35600000000000004,817.0,772.0,691.0,31,R
31R031,0.95,0.9420000000000001,0.922,390.0,372.0,338.0,31,R
31R032,0.331,0.32799999999999996,0.332,666.0,642.0,650.0,31,R
31R034,0.294,0.29600000000000004,0.308,1033.0,1002.0,991.0,31,R
31R035,0.34700000000000003,0.34,0.306,424.0,430.0,385.0,31,R
31R036,0.287,0.285,0.309,884.0,821.0,813.0,31,R
31R038,0.696,0.682,0.7190000000000001,382.0,392.0,375.0,31,R
31R039,0.687,0.687,0.6629999999999999,514.0,496.0,471.0,31,R
31R041,0.604,0.583,0.615,698.0,663.0,639.0,31,R
31R042,0.342,0.34299999999999997,0.34600000000000003,1088.0,1047.0,999.0,31,R
31R044,0.935,0.92,0.897,698.0,649.0,599.0,31,R
31R045,0.667,0.629,0.615,849.0,836.0,817.0,31,R
31R046,0.747,0.7859999999999999,0.7509999999999999,250.0,240.0,211.0,31,R
31R047,0.40399999999999997,0.426,0.475,487.0,505.0,523.0,31,R
31R048,0.446,0.46299999999999997,0.45,1000.0,968.0,950.0,31,R
31R049,0.897,0.899,0.877,551.0,626.0,585.0,31,R
31R050,0.385,0.389,0.431,713.0,713.0,711.0,31,R
31R051,0.754,0.722,0.716,1313.0,1380.0,1351.0,31,R
31R052,0.564,0.564,0.56,597.0,594.0,602.0,31,R
31R053,0.375,0.355,0.366,845.0,813.0,798.0,31,R
31R054,0.5329999999999999,0.504,0.5,821.0,785.0,806.0,31,R
31R055,0.299,0.298,0.325,580.0,546.0,529.0,31,R
31R056,0.305,0.27699999999999997,0.271,599.0,580.0,622.0,31,R
31R057,0.917,0.915,0.9259999999999999,653.0,582.0,522.0,31,R
31R058,0.507,0.511,0.524,688.0,660.0,684.0,31,R
31R059,0.654,0.6779999999999999,0.685,300.0,306.0,286.0,31,R
31R060,0.47200000000000003,0.47700000000000004,0.498,800.0,753.0,709.0,31,R
31R061,0.81,0.802,0.7929999999999999,976.0,1001.0,992.0,31,R
31R062,0.239,0.244,0.262,379.0,436.0,467.0,31,R
31R063,0.423,0.465,0.44799999999999995,453.0,461.0,448.0,31,R
31R064,0.442,0.449,0.47100000000000003,420.0,429.0,435.0,31,R
31R065,0.642,0.654,0.662,428.0,405.0,386.0,31,R
31R066,0.529,0.517,0.41200000000000003,625.0,694.0,852.0,31,R
31R068,0.718,0.677,0.682,291.0,368.0,411.0,31,R
31R069,0.581,0.5820000000000001,0.579,892.0,883.0,850.0,31,R
31R072,0.537,0.519,0.515,1582.0,1517.0,1483.0,31,R
31R074,0.91,0.9059999999999999,0.8809999999999999,280.0,267.0,269.0,31,R
31R075,0.311,0.29600000000000004,0.298,1448.0,1446.0,1356.0,31,R
31R078,0.95,0.95,0.941,715.0,670.0,587.0,31,R
31R080,0.49700000000000005,0.53,0.547,1338.0,1376.0,1404.0,31,R
31R440,0.565,0.5760000000000001,0.585,3106.0,3128.0,3178.0,31,R
31R445,0.763,0.772,0.7759999999999999,1564.0,1538.0,1634.0,31,R
31R450,0.747,0.745,0.746,2476.0,2455.0,2253.0,31,R
31R455,0.348,0.35100000000000003,0.369,3694.0,3726.0,3707.0,31,R
31R460,0.53,0.531,0.525,3434.0,3332.0,3224.0,31,R
31R470,0.858,0.867,0.899,178.0,177.0,165.0,31,R
31R600,0.752,0.773,0.772,830.0,838.0,768.0,31,R
31R605,0.37799999999999995,0.402,0.41,1335.0,1336.0,1355.0,31,R
31R861,0.6729999999999999,0.669,0.653,873.0,878.0,863.0,31,R
32K045,0.877,0.872,0.841,593.0,572.0,532.0,32,K
32K075,0.912,0.9329999999999999,0.903,282.0,244.0,250.0,32,K
32K086,0.907,0.9059999999999999,0.8959999999999999,419.0,379.0,374.0,32,K
32K106,0.85,0.872,0.843,397.0,339.0,343.0,32,K
32K116,0.9279999999999999,0.903,0.883,340.0,319.0,361.0,32,K
32K123,0.851,0.857,0.846,598.0,525.0,538.0,32,K
32K145,0.9279999999999999,0.9109999999999999,0.8640000000000001,501.0,474.0,468.0,32,K
32K151,0.9079999999999999,0.877,0.847,326.0,306.0,319.0,32,K
32K162,0.914,0.899,0.882,317.0,327.0,300.0,32,K
32K168,0.821,0.843,0.8079999999999999,304.0,364.0,368.0,32,K
32K274,0.9059999999999999,0.9009999999999999,0.897,364.0,346.0,360.0,32,K
32K291,0.927,0.924,0.9,331.0,306.0,284.0,32,K
32K299,0.934,0.898,0.902,181.0,177.0,210.0,32,K
32K347,0.883,0.865,0.828,292.0,248.0,282.0,32,K
32K349,0.9420000000000001,0.9279999999999999,0.884,298.0,278.0,257.0,32,K
32K376,0.789,0.763,0.774,522.0,469.0,473.0,32,K
32K377,0.8390000000000001,0.83,0.784,142.0,143.0,165.0,32,K
32K383,0.7859999999999999,0.7909999999999999,0.797,887.0,893.0,877.0,32,K
32K384,0.914,0.919,0.889,445.0,405.0,384.0,32,K
32K403,0.94,0.915,0.898,289.0,255.0,275.0,32,K
32K545,0.903,0.909,0.9129999999999999,461.0,472.0,473.0,32,K
32K549,0.9440000000000001,0.9279999999999999,0.9279999999999999,333.0,302.0,304.0,32,K
32K552,0.899,0.8640000000000001,0.848,287.0,372.0,403.0,32,K
32K554,0.698,0.675,0.662,433.0,431.0,411.0,32,K
32K556,0.94,0.934,0.9309999999999999,339.0,365.0,387.0,32,K
32K562,0.925,0.903,0.897,380.0,366.0,346.0,32,K
32K564,0.904,0.858,0.914,214.0,154.0,106.0,32,K
75K004,0.894,0.877,0.851,323.0,391.0,376.0,75,K
75K036,0.929,0.9229999999999999,0.912,388.0,380.0,394.0,75,K
75K053,0.9329999999999999,0.927,0.917,450.0,439.0,435.0,75,K
75K077,0.88,0.877,0.89,313.0,289.0,289.0,75,K
75K140,0.95,0.932,0.927,361.0,345.0,321.0,75,K
75K141,0.9259999999999999,0.917,0.9009999999999999,386.0,380.0,375.0,75,K
75K231,0.8759999999999999,0.882,0.875,322.0,296.0,298.0,75,K
75K368,0.95,0.946,0.9490000000000001,274.0,260.0,232.0,75,K
75K369,0.902,0.897,0.899,518.0,527.0,489.0,75,K
75K370,0.887,0.8759999999999999,0.883,250.0,236.0,235.0,75,K
75K371,0.943,0.9440000000000001,0.943,250.0,228.0,209.0,75,K
75K372,0.467,0.488,0.516,195.0,187.0,172.0,75,K
75K373,0.937,0.9309999999999999,0.93,477.0,486.0,481.0,75,K
75K396,0.9129999999999999,0.9159999999999999,0.9059999999999999,473.0,488.0,461.0,75,K
75K721,0.946,0.925,0.92,469.0,473.0,484.0,75,K
75K753,0.9420000000000001,0.941,0.929,285.0,323.0,340.0,75,K
75K771,0.868,0.858,0.845,467.0,466.0,481.0,75,K
75K811,0.9440000000000001,0.94,0.935,339.0,334.0,311.0,75,K
75M035,0.885,0.865,0.87,309.0,268.0,248.0,75,M
75M079,0.95,0.95,0.95,277.0,273.0,278.0,75,M
75M094,0.872,0.8809999999999999,0.868,419.0,403.0,385.0,75,M
75M138,0.93,0.924,0.919,636.0,657.0,663.0,75,M
75M169,0.9440000000000001,0.9440000000000001,0.941,356.0,356.0,306.0,75,M
75M226,0.894,0.9059999999999999,0.893,290.0,276.0,265.0,75,M
75M401,0.71,0.857,0.895,68.0,59.0,55.0,75,M
75M501,0.82,0.872,0.85,53.0,47.0,40.0,75,M
75M721,0.95,0.937,0.93,192.0,198.0,203.0,75,M
75M751,0.938,0.9470000000000001,0.95,232.0,233.0,222.0,75,M
75M811,0.9420000000000001,0.95,0.934,392.0,416.0,437.0,75,M
75Q004,0.7829999999999999,0.7709999999999999,0.755,457.0,456.0,494.0,75,Q
75Q009,0.861,0.84,0.8320000000000001,630.0,625.0,654.0,75,Q
75Q023,0.922,0.912,0.883,284.0,259.0,251.0,75,Q
75Q075,0.866,0.858,0.841,554.0,588.0,562.0,75,Q
75Q177,0.84,0.838,0.8440000000000001,490.0,492.0,508.0,75,Q
75Q224,0.7490000000000001,0.7490000000000001,0.73,419.0,399.0,397.0,75,Q
75Q233,0.861,0.846,0.8390000000000001,570.0,550.0,516.0,75,Q
75Q255,0.8440000000000001,0.8190000000000001,0.799,421.0,458.0,472.0,75,Q
75Q256,0.903,0.907,0.899,549.0,534.0,508.0,75,Q
75Q277,0.8320000000000001,0.8240000000000001,0.8190000000000001,588.0,681.0,676.0,75,Q
75Q721,0.8959999999999999,0.894,0.8690000000000001,474.0,492.0,495.0,75,Q
75Q752,0.903,0.895,0.872,393.0,423.0,434.0,75,Q
75Q811,0.856,0.8420000000000001,0.8340000000000001,426.0,437.0,439.0,75,Q
75Q993,0.84,0.835,0.807,599.0,604.0,585.0,75,Q
75R025,0.878,0.873,0.866,578.0,595.0,556.0,75,R
75R037,0.8290000000000001,0.82,0.816,392.0,461.0,491.0,75,R
75R373,0.86,0.845,0.809,603.0,613.0,592.0,75,R
75R721,0.935,0.9209999999999999,0.907,447.0,427.0,447.0,75,R
75X010,0.925,0.92,0.903,574.0,641.0,634.0,75,X
75X012,0.95,0.95,0.95,310.0,308.0,309.0,75,X
75X017,0.9359999999999999,0.929,0.925,488.0,537.0,505.0,75,X
75X168,0.9279999999999999,0.915,0.91,519.0,518.0,556.0,75,X
75X176,0.897,0.905,0.91,563.0,553.0,582.0,75,X
75X186,0.95,0.95,0.95,764.0,709.0,654.0,75,X
75X188,0.9390000000000001,0.935,0.935,511.0,569.0,533.0,75,X
75X352,0.94,0.9279999999999999,0.917,585.0,553.0,499.0,75,X
75X469,0.95,0.9359999999999999,0.9359999999999999,412.0,533.0,513.0,75,X
75X596,0.83,0.8240000000000001,0.8140000000000001,413.0,409.0,377.0,75,X
75X721,0.95,0.9490000000000001,0.95,575.0,589.0,547.0,75,X
75X723,0.946,0.95,0.95,488.0,481.0,428.0,75,X
75X754,0.95,0.95,0.95,459.0,502.0,477.0,75,X
75X811,0.95,0.95,0.95,642.0,650.0,607.0,75,X
79K925,0.835,0.8320000000000001,0.821,1976.0,1302.0,1037.0,79,K
79M331,0.889,0.892,0.8690000000000001,23.0,14.0,24.0,79,M
79M379,0.892,0.88,0.88,1656.0,1037.0,655.0,79,M
79M645,0.742,0.736,0.727,885.0,786.0,706.0,79,M
79M973,0.8440000000000001,0.884,0.912,426.0,341.0,346.0,79,M
79Q344,0.7809999999999999,0.818,0.805,305.0,211.0,165.0,79,Q
79Q950,0.912,0.909,0.8909999999999999,3510.0,3351.0,1914.0,79,Q
79X695,0.95,0.95,0.9470000000000001,244.0,192.0,208.0,79,X
84K037,0.8590000000000001,0.879,0.872,451.0,485.0,468.0,84,K
84K125,0.778,0.81,0.835,314.0,286.0,272.0,84,K
84K129,0.5589999999999999,0.547,0.521,421.0,439.0,377.0,84,K
84K182,0.6759999999999999,0.688,0.6859999999999999,447.0,411.0,389.0,84,K
84K333,0.82,0.818,0.826,504.0,458.0,419.0,84,K
